time,city,new_confirmed,new_death,new_recovered,accumulated_confirmed,accumulated_death,accumulated_recovered,new_suspected,accumulated_suspected,accumulated_close_contact,accumulated_quit_medical_observation,under_medical_observation
2020-01-30,全省,5806,204,116,,,,11272,,,,
2020-01-31,全省,7153,249,166,,,,13577,,,,
2020-02-01,全省,9074,294,215,,,,14872,,,,
2020-02-02,全省,11177,350,295,,,,16898,,,,
2020-02-03,全省,13522,414,396,,,,18549,,,,
2020-02-04,全省,16678,479,520,,,,18447,,,,
2020-02-05,全省,19665,549,633,,,,19728,,,,
2020-01-30,全省,537,0,4,,,,154,,,,
2020-01-31,全省,599,0,14,,,,202,,,,
2020-02-01,全省,661,0,21,,,,207,,,,
2020-02-02,全省,724,0,32,,,,201,,,,
2020-02-03,全省,829,0,43,,,,258,,,,
2020-02-04,全省,895,0,62,,,,299,,,,
2020-02-05,全省,954,0,78,,,,322,,,,
2020-01-30,全省,393,0,10,,,,151,,,,
2020-01-31,全省,520,0,11,,,,126,,,,
2020-02-01,全省,604,0,14,,,,157,,,,
2020-02-02,全省,683,0,15,,,,205,,,,
2020-02-03,全省,797,0,21,,,,180,,,,
2020-02-04,全省,870,0,30,,,,136,,,,
2020-02-05,全省,944,0,49,,,,148,,,,
2020-01-30,全省,352,2,2,,,,735,,,,
2020-01-31,全省,422,2,3,,,,751,,,,
2020-02-01,全省,493,2,3,,,,754,,,,
2020-02-02,全省,566,2,10,,,,760,,,,
2020-02-03,全省,675,2,16,,,,678,,,,
2020-02-04,全省,764,2,33,,,,693,,,,
2020-02-05,全省,851,2,49,,,,688,,,,
2020-01-30,全省,332,0,2,,,,303,,,,
2020-01-31,全省,389,0,3,,,,426,,,,
2020-02-01,全省,463,0,8,,,,434,,,,
2020-02-02,全省,521,0,16,,,,351,,,,
2020-02-03,全省,593,0,22,,,,289,,,,
2020-02-04,全省,661,0,33,,,,211,,,,
2020-02-05,全省,711,0,54,,,,207,,,,
2020-01-30,全省,240,0,5,,,,197,,,,
2020-01-31,全省,286,0,7,,,,260,,,,
2020-02-01,全省,333,0,9,,,,312,,,,
2020-02-02,全省,391,0,12,,,,359,,,,
2020-02-03,全省,476,0,18,,,,319,,,,
2020-02-04,全省,548,0,20,,,,343,,,,
2020-02-05,全省,600,0,27,,,,312,,,,
2020-01-30,全省,237,0,2,,,,98,,,,
2020-01-31,全省,297,0,3,,,,117,,,,
2020-02-01,全省,340,0,5,,,,160,,,,
2020-02-02,全省,408,0,7,,,,153,,,,
2020-02-03,全省,480,0,14,,,,124,,,,
2020-02-04,全省,530,0,20,,,,130,,,,
2020-02-05,全省,591,0,23,,,,141,,,,
2020-01-30,全省,168,0,1,,,,0,,,,
2020-01-31,全省,202,0,5,,,,42,,,,
2020-02-01,全省,236,0,6,,,,47,,,,
2020-02-02,全省,271,0,8,,,,44,,,,
2020-02-03,全省,308,0,8,,,,47,,,,
2020-02-04,全省,341,0,12,,,,43,,,,
2020-02-05,全省,373,0,23,,,,55,,,,
2020-01-30,全省,178,0,1,,,,90,,,,
2020-01-31,全省,202,0,2,,,,83,,,,
2020-02-01,全省,225,0,3,,,,81,,,,
2020-02-02,全省,246,0,7,,,,62,,,,
2020-02-03,全省,270,0,7,,,,70,,,,
2020-02-04,全省,298,0,12,,,,94,,,,
2020-02-05,全省,343,0,15,,,,85,,,,
2020-01-30,全省,177,1,1,,,,241,,,,
2020-01-31,全省,207,1,1,,,,256,,,,
2020-02-01,全省,231,1,3,,,,247,,,,
2020-02-02,全省,254,1,11,,,,268,,,,
2020-02-03,全省,282,1,14,,,,258,,,,
2020-02-04,全省,301,1,14,,,,281,,,,
2020-02-05,全省,321,1,24,,,,340,,,,
2020-01-30,全省,59,2,0,,,,128,,,,
2020-01-31,全省,80,2,0,,,,149,,,,
2020-02-01,全省,95,2,2,,,,172,,,,
2020-02-02,全省,118,2,2,,,,163,,,,
2020-02-03,全省,155,2,2,,,,178,,,,
2020-02-04,全省,190,2,4,,,,184,,,,
2020-02-05,全省,227,3,7,,,,222,,,,
2020-01-30,全省,120,0,0,,,,116,,,,
2020-01-31,全省,144,0,0,,,,111,,,,
2020-02-01,全省,159,0,0,,,,99,,,,
2020-02-02,全省,179,0,0,,,,96,,,,
2020-02-03,全省,194,0,1,,,,87,,,,
2020-02-04,全省,205,0,7,,,,91,,,,
2020-02-05,全省,215,0,11,,,,78,,,,
2020-01-30,全省,87,0,0,,,,132,,,,
2020-01-31,全省,101,0,0,,,,158,,,,
2020-02-01,全省,116,0,0,,,,201,,,,
2020-02-02,全省,128,0,0,,,,205,,,,
2020-02-03,全省,142,0,0,,,,221,,,,
2020-02-04,全省,165,0,2,,,,215,,,,
2020-02-05,全省,173,0,6,,,,238,,,,
2020-01-30,全省,87,0,2,,,,256,,,,
2020-01-31,全省,100,0,2,,,,288,,,,
2020-02-01,全省,111,0,2,,,,319,,,,
2020-02-02,全省,127,0,2,,,,330,,,,
2020-02-03,全省,139,0,7,,,,364,,,,
2020-02-04,全省,150,0,10,,,,396,,,,
2020-02-05,全省,168,0,14,,,,391,,,,
2020-01-30,全省,82,1,0,,,,78,,,,
2020-01-31,全省,96,1,0,,,,88,,,,
2020-02-01,全省,104,1,0,,,,104,,,,
2020-02-02,全省,113,1,6,,,,108,,,,
2020-02-03,全省,126,1,3,,,,93,,,,
2020-02-04,全省,135,1,4,,,,117,,,,
2020-02-05,全省,157,1,6,,,,133,,,,
2020-01-30,全省,80,0,0,,,,236,,,,
2020-01-31,全省,91,0,2,,,,228,,,,
2020-02-01,全省,99,0,2,,,,261,,,,
2020-02-02,全省,109,0,3,,,,252,,,,
2020-02-03,全省,117,0,5,,,,225,,,,
2020-02-04,全省,122,0,5,,,,172,,,,
2020-02-05,全省,128,0,5,,,,149,,,,
2020-01-30,全省,49,1,1,,,,73,,,,
2020-01-31,全省,57,1,1,,,,95,,,,
2020-02-01,全省,63,1,1,,,,101,,,,
2020-02-02,全省,70,1,4,,,,113,,,,
2020-02-03,全省,79,1,4,,,,109,,,,
2020-02-04,全省,89,1,5,,,,118,,,,
2020-02-05,全省,100,1,5,,,,132,,,,
2020-01-30,全省,39,0,1,,,,67,,,,
2020-01-31,全省,47,0,1,,,,75,,,,
2020-02-01,全省,56,0,1,,,,64,,,,
2020-02-02,全省,66,0,2,,,,64,,,,
2020-02-03,全省,74,0,2,,,,62,,,,
2020-02-04,全省,81,0,4,,,,42,,,,
2020-02-05,全省,90,0,5,,,,42,,,,
2020-01-30,全省,45,0,1,,,,89,,,,
2020-01-31,全省,60,0,1,,,,122,,,,
2020-02-01,全省,64,0,1,,,,116,,,,
2020-02-02,全省,70,0,1,,,,113,,,,
2020-02-03,全省,74,0,1,,,,120,,,,
2020-02-04,全省,81,0,2,,,,127,,,,
2020-02-05,全省,89,0,4,,,,143,,,,
2020-01-30,全省,15,0,1,,,,75,,,,
2020-01-31,全省,29,0,2,,,,67,,,,
2020-02-01,全省,38,0,2,,,,59,,,,
2020-02-02,全省,46,0,2,,,,41,,,,
2020-02-03,全省,56,0,2,,,,33,,,,
2020-02-04,全省,64,0,2,,,,33,,,,
2020-02-05,全省,69,1,9,,,,37,,,,
2020-01-30,全省,30,0,0,,,,15,,,,
2020-01-31,全省,35,0,0,,,,15,,,,
2020-02-01,全省,40,0,0,,,,20,,,,
2020-02-02,全省,51,0,3,,,,9,,,,
2020-02-03,全省,56,0,3,,,,9,,,,
2020-02-04,全省,57,0,4,,,,18,,,,
2020-02-05,全省,62,0,6,,,,16,,,,
2020-01-30,全省,14,0,1,,,,10,,,,
2020-01-31,全省,17,0,1,,,,10,,,,
2020-02-01,全省,23,0,1,,,,14,,,,
2020-02-02,全省,31,0,1,,,,17,,,,
2020-02-03,全省,42,0,1,,,,24,,,,
2020-02-04,全省,54,0,1,,,,58,,,,
2020-02-05,全省,59,0,2,,,,69,,,,
2020-01-30,全省,20,0,0,,,,1,,,,
2020-01-31,全省,23,0,1,,,,4,,,,
2020-02-01,全省,26,0,1,,,,7,,,,
2020-02-02,全省,33,0,1,,,,4,,,,
2020-02-03,全省,37,0,1,,,,2,,,,
2020-02-04,全省,42,0,1,,,,1,,,,
2020-02-05,全省,46,0,3,,,,5,,,,
2020-01-30,全省,21,0,0,,,,1,,,,
2020-01-31,全省,26,0,0,,,,1,,,,
2020-02-01,全省,28,0,0,,,,8,,,,
2020-02-02,全省,31,0,0,,,,12,,,,
2020-02-03,全省,34,0,1,,,,18,,,,
2020-02-04,全省,34,0,1,,,,24,,,,
2020-02-05,全省,40,0,1,,,,39,,,,
2020-01-30,全省,17,0,0,,,,28,,,,
2020-01-31,全省,18,0,0,,,,19,,,,
2020-02-01,全省,21,0,0,,,,21,,,,
2020-02-02,全省,24,0,0,,,,26,,,,
2020-02-03,全省,29,0,0,,,,33,,,,
2020-02-04,全省,32,0,0,,,,46,,,,
2020-02-05,全省,36,0,0,,,,47,,,,
2020-01-30,全省,8,0,0,,,,0,,,,
2020-01-31,全省,8,0,0,,,,1,,,,
2020-02-01,全省,9,0,0,,,,2,,,,
2020-02-02,全省,13,0,0,,,,0,,,,
2020-02-03,全省,15,0,0,,,,0,,,,
2020-02-04,全省,17,0,0,,,,0,,,,
2020-02-05,全省,18,0,3,,,,0,,,,
2020-01-30,全省,1,0,0,,,,0,,,,
2020-01-31,全省,1,0,0,,,,0,,,,
2020-02-01,全省,1,0,0,,,,0,,,,
2020-02-02,全省,1,0,0,,,,0,,,,
2020-02-03,全省,1,0,0,,,,0,,,,
2020-02-04,全省,1,0,0,,,,0,,,,
2020-02-05,全省,1,0,0,,,,0,,,,
