time,city,accumulated_confirmed,accumulated_death,accumulated_recovered,new_confirmed,new_death,new_recovered 
2020-01-10,武汉,41,1,2,41,1,2
2020-01-11,武汉,41,1,6,0,0,4
2020-01-12,武汉,41,1,7,0,0,1
2020-01-13,武汉,41,1,7,0,0,1
2020-01-14,武汉,41,1,7,0,0,1
2020-01-15,武汉,41,2,12,0,1,5
2020-01-16,武汉,45,2,15,4,0,3
2020-01-17,武汉,62,2,19,17,0,4
2020-01-18,武汉,121,3,24,59,1,5
2020-01-19,武汉,198,3,25,77,0,1
2020-01-20,武汉,258,6,25,60,3,0
2020-01-20,黄冈,12,0,0,12,0,0
2020-01-21,武汉,363,9,28,105,3,3
2020-01-21,黄冈,12,0,0,12,0,0
2020-01-22,武汉,425,17,28,62,8,0
2020-01-22,黄冈,12,0,0,12,0,0
2020-01-22,荆州,6,0,0,6,0,0
2020-01-22,荆门,1,0,0,1,0,0
2020-01-23,武汉,495,23,31,70,6,3
2020-01-23,黄冈,12,0,0,12,0,0
2020-01-23,荆门,8,0,0,7,0,0
2020-01-23,荆州,8,0,0,2,0,0
2020-01-23,孝感,22,0,0,22,0,0
2020-01-23,仙桃,2,0,0,2,0,0
2020-01-23,宜昌,1,1,0,1,1,0
2020-01-23,十堰,1,0,0,1,0,0
2020-01-24,武汉,572,38,32,77,15,1
2020-01-24,荆门,21,0,0,13,0,0
2020-01-24,荆州,10,0,0,2,0,0
2020-01-24,孝感,26,0,0,4,0,0
2020-01-24,仙桃,10,0,0,8,0,0
2020-01-24,十堰,5,0,0,4,0,0
2020-01-24,黄冈,64,0,0,52,0,0
2020-01-24,随州,5,0,0,5,0,0
2020-01-24,恩施,11,0,0,11,0,0
2020-01-24,鄂州,1,0,0,1,0,0
2020-01-24,天门,3,0,0,3,0,0
2020-01-25,武汉,618,45,40,46,7,8
2020-01-25,黄石,31,1,0,31,1,0
2020-01-25,襄阳,2,0,0,2,0,0
2020-01-25,十堰,20,0,0,15,0,0
2020-01-25,宜昌,20,1,0,19,0,0
2020-01-25,荆州,33,2,0,23,2,0
2020-01-25,荆门,38,1,0,17,1,0
2020-01-25,咸宁,43,0,0,43,0,0
2020-01-25,孝感,55,0,0,29,0,0
2020-01-25,黄冈,122,2,2,58,2,2
2020-01-25,随州,36,0,0,31,0,0
2020-01-25,恩施,17,0,0,6,0,0
2020-01-25,仙桃,11,0,0,1,0,0
2020-01-25,天门,5,0,0,2,0,0
2020-01-26,武汉,698,63,42,80,18,2
2020-01-26,黄石,36,1,0,5,0,0
2020-01-26,襄阳,36,0,0,34,0,0
2020-01-26,十堰,40,0,0,20,0,0
2020-01-26,宜昌,31,1,0,11,0,0
2020-01-26,荆州,47,2,0,14,0,0
2020-01-26,荆门,90,3,0,52,2,0
2020-01-26,咸宁,64,0,0,21,0,0
2020-01-26,孝感,100,1,0,45,1,0
2020-01-26,黄冈,154,4,2,32,2,0
2020-01-26,随州,52,0,0,16,0,0
2020-01-26,恩施,25,0,0,8,0,0
2020-01-26,仙桃,12,0,0,1,0,0
2020-01-26,天门,13,0,0,8,0,0
2020-01-26,鄂州,20,0,0,19,0,0
2020-01-26,潜江,5,1,0,5,1,0
2020-01-27,武汉,1590,85,45,892,22,3
2020-01-27,黄石,53,1,0,17,0,0
2020-01-27,十堰,65,0,0,25,0,0
2020-01-27,襄阳,70,0,0,34,0,0
2020-01-27,宜昌,51,1,0,20,0,0
2020-01-27,荆州,71,2,0,24,0,0
2020-01-27,荆门,114,3,0,24,0,0
2020-01-27,咸宁,91,0,0,27,0,0
2020-01-27,孝感,173,1,0,73,0,0
2020-01-27,黄冈,213,4,2,59,0,0
2020-01-27,随州,70,0,0,18,0,0
2020-01-27,恩施,38,0,0,13,0,0
2020-01-27,仙桃,27,0,0,15,0,0
2020-01-27,天门,23,2,0,19,2,0
2020-01-27,鄂州,57,0,0,37,0,0
2020-01-27,潜江,7,1,0,2,0,0
2020-01-28,武汉,1905,104,78,315,19,33
2020-01-28,黄石,86,1,0,33,0,0
2020-01-28,十堰,88,0,0,23,0,0
2020-01-28,襄阳,131,0,0,61,0,0
2020-01-28,宜昌,63,1,0,12,0,0
2020-01-28,荆州,101,2,0,30,1,0
2020-01-28,荆门,142,4,0,28,1,0
2020-01-28,鄂州,84,1,0,27,0,0
2020-01-28,孝感,274,3,0,101,2,0
2020-01-28,黄冈,324,5,2,111,1,0
2020-01-28,咸宁,112,0,0,21,0,0
2020-01-28,随州,116,0,0,46,0,0
2020-01-28,恩施,51,0,0,13,0,0
2020-01-28,仙桃,32,0,0,5,0,0
2020-01-28,天门,34,3,0,11,1,0
2020-01-28,潜江,8,1,0,1,0,0
2020-01-29,武汉,2261,129,85,356,25,7
2020-01-29,黄石,113,1,0,27,0,0
2020-01-29,十堰,119,0,0,31,0,0
2020-01-29,襄阳,163,0,0,32,0,0
2020-01-29,宜昌,117,1,0,54,0,0
2020-01-29,荆州,151,3,0,50,1,0
2020-01-29,荆门,191,4,0,49,0,0
2020-01-29,鄂州,123,2,0,39,1,0
2020-01-29,孝感,399,6,0,125,3,0
2020-01-29,黄冈,496,12,5,172,7,3
2020-01-29,咸宁,130,0,0,18,0,0
2020-01-29,随州,143,0,0,27,0,0
2020-01-29,恩施,66,0,0,15,0,0
2020-01-29,仙桃,55,0,0,23,0,0
2020-01-29,天门,44,3,0,10,0,0
2020-01-29,潜江,10,1,0,2,0,0
2020-01-30,武汉,2639,159,106,378,30,21
2020-01-30,黄石,168,1,0,55,0,0
2020-01-30,十堰,150,0,0,31,0,0
2020-01-30,襄阳,286,0,0,123,0,0
2020-01-30,宜昌,167,1,0,50,0,0
2020-01-30,荆州,221,3,0,70,0,0
2020-01-30,荆门,227,5,0,36,1,0
2020-01-30,鄂州,189,6,0,66,4,0
2020-01-30,孝感,541,9,2,142,3,2
2020-01-30,黄冈,573,12,6,77,0,1
2020-01-30,咸宁,166,0,0,36,0,0
2020-01-30,随州,228,0,0,85,0,0
2020-01-30,恩施,75,0,0,9,0,0
2020-01-30,仙桃,90,1,0,35,1,0
2020-01-30,天门,67,6,0,23,3,0
2020-01-30,潜江,12,1,0,2,0,0
2020-01-31,武汉,3215,192,142,576,33,36
2020-01-31,黄石,209,2,0,41,1,0
2020-01-31,十堰,177,0,0,27,0,0
2020-01-31,襄阳,347,0,0,61,0,0
2020-01-31,宜昌,276,1,0,109,0,0
2020-01-31,荆州,287,4,1,66,1,1
2020-01-31,荆门,251,5,1,24,1,1
2020-01-31,鄂州,227,9,0,38,3,0
2020-01-31,孝感,628,12,2,87,3,0
2020-01-31,黄冈,726,14,17,153,2,11
2020-01-31,咸宁,206,0,1,40,0,1
2020-01-31,随州,304,1,0,76,1,0
2020-01-31,恩施,87,0,0,12,0,0
2020-01-31,仙桃,97,1,0,7,0,0
2020-01-31,天门,82,7,0,15,1,0
2020-01-31,潜江,27,1,0,15,0,0
2020-02-01,武汉,4109,224,174,894,32,32
2020-02-01,黄石,252,2,0,43,0,1
2020-02-01,十堰,212,0,0,35,0,0
2020-02-01,襄阳,441,0,0,94,0,0
2020-02-01,宜昌,353,1,0,77,0,0
2020-02-01,荆州,333,4,1,46,0,0
2020-02-01,荆门,329,7,3,78,2,2
2020-02-01,鄂州,278,13,0,51,4,0
2020-02-01,孝感,749,14,2,121,2,0
2020-02-01,黄冈,1002,15,27,276,1,10
2020-02-01,咸宁,246,0,1,40,0,0
2020-02-01,随州,384,3,3,80,2,3
2020-02-01,恩施,105,0,1,18,0,1
2020-02-01,仙桃,140,3,0,43,2,0
2020-02-01,天门,99,7,0,17,0,0
2020-02-01,潜江,35,1,0,8,0,0
2020-02-02,武汉,5143,265,227,1033,41,53
2020-02-02,黄石,334,2,8,82,0,8
2020-02-02,十堰,256,0,2,44,0,2
2020-02-02,襄阳,548,0,0,107,0,0
2020-02-02,宜昌,392,1,1,39,0,1
2020-02-02,荆州,499,6,3,166,2,2
2020-02-02,荆门,345,11,6,16,4,3
2020-02-02,鄂州,306,15,2,28,2,2
2020-02-02,孝感,918,14,2,169,0,0
2020-02-02,黄冈,1246,17,32,244,2,5
2020-02-02,咸宁,296,0,1,50,0,0
2020-02-02,随州,458,5,3,74,2,0
2020-02-02,恩施,111,0,5,6,0,4
2020-02-02,仙桃,169,3,0,29,0,0
2020-02-02,天门,115,10,0,16,3,0
2020-02-02,潜江,35,1,0,0,0,0
2020-02-03,武汉,6384,313,306,1242,48,79
2020-02-03,黄石,405,2,9,71,0,1
2020-02-03,十堰,291,0,6,35,0,4
2020-02-03,襄阳,632,1,0,84,1,0
2020-02-03,宜昌,452,3,2,60,2,1
2020-02-03,荆州,613,7,6,114,1,3
2020-02-03,荆门,400,14,6,55,3,0
2020-02-03,鄂州,332,18,4,26,3,2
2020-02-03,孝感,1120,17,4,202,3,2
2020-02-03,黄冈,1422,19,41,176,2,9
2020-02-03,咸宁,348,0,1,52,0,0
2020-02-03,随州,641,6,3,183,1,0
2020-02-03,恩施,123,0,5,12,0,0
2020-02-03,仙桃,188,3,0,19,0,0
2020-02-03,潜江,44,1,0,9,0,0
2020-02-03,天门,117,10,0,2,0,0